id|stock
0060|28/29:10, 30/31:10, 32/33:10, 34/35:10
0061|28/29:10, 30/31:10, 32/33:10, 34/35:10
0062|28/29:10, 30/31:10, 32/33:10, 34/35:10
0063|28/29:10, 30/31:10, 32/33:10, 34/35:10
0064|28/29:10, 30/31:10, 32/33:10, 34/35:10
0065|28/29:10, 30/31:10, 32/33:10, 34/35:10
0066|28/29:10, 30/31:10, 32/33:10, 34/35:10
0067|28/29:10, 30/31:10, 32/33:10, 34/35:10
0068|28/29:10, 30/31:10, 32/33:10, 34/35:10
0069|28/29:10, 30/31:10, 32/33:10, 34/35:10
0070|28/29:10, 30/31:10, 32/33:10, 34/35:10
0071|28/29:10, 30/31:10, 32/33:10, 34/35:10
0072|28/29:10, 30/31:10, 32/33:10, 34/35:10
0073|28/29:10, 30/31:10, 32/33:10, 34/35:10
0074|28/29:10, 30/31:10, 32/33:10, 34/35:10
0075|28/29:10, 30/31:10, 32/33:10, 34/35:10
0076|28/29:10, 30/31:10, 32/33:10, 34/35:10
0077|28/29:10, 30/31:10, 32/33:10, 34/35:10
0078|28/29:10, 30/31:10, 32/33:10, 34/35:10
0079|28/29:10, 30/31:10, 32/33:10, 34/35:10
0080|28/29:10, 30/31:10, 32/33:10, 34/35:10
0081|22/23:10, 24/25:10, 26/27:10, 28/29:10, 30/31:10, 32/33:10, 34/35:10
0082|22/23:10, 24/25:10, 26/27:10, 28/29:10, 30/31:10, 32/33:10, 34/35:10
0083|22/23:10, 24/25:10, 26/27:10, 28/29:10, 30/31:10, 32/33:10, 34/35:10
0084|22/23:10, 24/25:10, 26/27:10, 28/29:10, 30/31:10, 32/33:10, 34/35:10
0085|22/23:10, 24/25:10, 26/27:10, 28/29:10, 30/31:10, 32/33:10, 34/35:10
0086|22/23:10, 24/25:10, 26/27:10, 28/29:10, 30/31:10, 32/33:10, 34/35:10
0087|20/21:10, 22/23:10, 24/25:10, 26/27:10
0088|20/21:10, 22/23:10, 24/25:10, 26/27:10
0089|20/21:10, 22/23:10, 24/25:10, 26/27:10
0090|20/21:10, 22/23:10, 24/25:10, 26/27:10
0091|20/21:10, 22/23:10, 24/25:10, 26/27:10
0092|20/21:10, 22/23:10, 24/25:10, 26/27:10, 28/29:10, 30/31:10, 32/33:10, 34/35:10
0093|18:1, 19:1, 20:2, 21:0, 22:5, 23:0, 24:0, 25:5
0094|18:1, 19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0095|18:1, 19:0, 20:2, 21:5, 22:0, 23:0, 24:0, 25:5, 26:5
0096|18:1, 19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0097|18:1, 19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0098|25:5, 26:5
0099|25:5, 26:5
0100|18:1, 19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0101|18:1, 19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0102|18:0, 19:0, 20:5, 21:5, 22:0, 23:0, 24:5, 25:5
0103|19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0104|19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0105|19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0106|19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0107|25:5, 26:5, 27:5, 30:5
0108|25:5, 26:5, 27:5, 28:5, 29:5, 30:5
0109|26:5, 27:5, 28:5, 29:5, 30:5
0110|26:5, 27:5, 28:5, 29:5, 30:5
0111|25:5, 26:5, 27:5, 28:5, 29:5, 30:5
0112|31:5, 32:5, 33:5, 34:5, 35:5, 36:5
0113|31:5, 32:5, 33:5, 34:5, 35:5, 36:5
0114|31:5, 32:5, 33:5, 34:5, 35:5, 36:5
0115|31:5, 32:5, 33:5, 34:5, 35:5, 36:5
0116|31:5, 32:5, 33:5, 34:5, 35:5, 36:5
0117|31:5, 32:5, 33:5, 34:5, 35:5, 36:5
0118|19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0119|19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0120|19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0121|19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0122|19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0123|19:1, 20:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0124|21:1, 22:2, 23:4, 24:0, 25:4
0125|21:1, 22:2, 23:4, 24:0, 25:4
0126|21:1, 22:2, 23:4, 24:0, 25:4
0127|0-6:2, 6-12:4
0128|0-6:2, 6-12:3
0129|0-6:0, 6-12:0, 12-18:0, 18-24:3
0130|0-6:2, 6-12:4, 12-18:5
0131|24:2, 25:3, 26:2, 27:2, 28:1, 29:3
0132|31:3, 32:2, 33:1, 34:2, 35:3, 36:3
0133|32:1
0134|22/23:10, 24/25:10, 26/27:10, 28/29:10
0135|24/25:10, 26/27:10, 28/29:10
0136|24/25:10, 26/27:10, 28/29:10, 30/31:10, 32/33:10, 34/35:10
0137|24/25:10, 26/27:10, 28/29:10, 30/31:10, 32/33:10, 34/35:10
0138|20/21:10, 22/23:10, 24/25:10, 26/27:10, 28/29:10 
0139|25/26:5
0140|20/21:10, 22/23:10, 24/25:10, 26/27:10, 28/29:10 
0141|30/31:10, 32/33:10, 34/35:10
0142|20/21:10, 22/23:10, 24/25:10, 26/27:10, 28/29:10
0143|30/31:10, 32/33:10, 34/35:10
0144|20/21:10, 22/23:10, 24/25:10, 26/27:10, 28/29:10
0145|20/21:10, 22/23:10, 24/25:10, 26/27:10, 28/29:10
0146|36/37:10, 38/39:10
0147|33:1, 34:1
0148|34:1, 35:1, 36:1
0149|20:2, 21:3, 25:3, 26:3
0150|18:2, 19:2, 21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0151|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0152|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0153|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0154|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0155|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0156|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0157|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0158|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0159|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0160|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0161|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0162|18:2, 19:2, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0163|26:3, 27:2, 28:1, 29:3, 30:3
0164|25:3, 26:3, 27:2, 28:1, 29:3, 30:3
0165|25:3, 26:3, 27:2, 28:1, 29:3, 30:3
0166|25:3, 26:3, 27:2, 28:1
0167|25:3, 26:3, 27:2, 28:1
0168|25:3, 26:3, 27:2, 28:1, 29:3, 30:3
0169|25:3, 26:3, 27:2, 28:1, 29:3, 30:3
0170|25:3, 26:3, 27:2, 28:8, 29:3, 30:3
0171|25:3, 26:3, 27:2, 28:8, 29:3, 30:3
0172|25:3, 26:3, 27:2, 28:8, 29:3, 30:3
0173|25:3, 26:3, 27:2, 28:8, 29:3, 30:3
0174|27:2, 28:8, 29:3, 30:3
0175|27:2, 28:8, 29:3, 30:3
0176|25:3, 26:3, 27:2, 28:8, 29:3, 30:3
0177|31:5, 32:5, 33:0, 34:5, 35:5, 36:5
0178|31:5, 32:5, 33:6, 34:5, 35:5, 36:5
0179|31:5, 32:5, 33:6, 34:5, 35:5, 36:5
0180|31:5, 32:5, 33:6, 34:5, 35:5, 36:5
0181|31:5, 32:5, 33:6, 34:5, 35:5, 36:5
0182|31:5, 32:5, 33:6, 34:5, 35:5, 36:5
0183|31:5, 32:5, 33:6, 34:5, 35:5, 36:0
0184|31:5, 32:5, 33:6, 34:5, 35:5, 36:5
0185|37:5, 38:5, 39:5
0186|18:0, 19:0, 20:0,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0187|18:0, 19:0, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0188|18:5, 19:5, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0189|18:5, 19:5, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0190|18:5, 19:5, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0191|18:0, 19:0, 20:5,21:0, 22:5, 23:5, 24:5, 25:5, 26:5
0192|18:5, 19:5, 20:5,21:5, 22:5, 23:5, 24:5, 25:5, 26:5
0193|25:0, 26:5, 27:5, 28:5, 29:5
0194|25:5, 26:5, 27:5, 28:5, 29:5, 30:5
0195|25:5, 26:5, 27:5, 28:5, 29:5, 30:5
0196|25:5, 26:5, 27:5, 28:5, 29:5, 30:5
0197|25:5, 26:5, 27:5, 28:5, 29:5, 30:5
0198|25:0, 26:5, 27:5, 28:5, 29:5, 30:5
0199|25:0, 26:0, 27:5, 28:5, 29:5, 30:5
0200|25:5, 26:5, 27:5
0201|25:5, 26:5, 27:5, 28:5, 29:5, 30:5
0202|25:5, 26:5, 27:5, 28:5, 29:5, 30:5
0203|22:2, 23:3, 24:3, 25:3
0204|20:2, 21:2, 22:2, 23:3, 24:3, 25:3, 26:2
0205|20:2, 21:2, 22:2, 23:3, 24:3, 25:3, 26:2
0206|25:3, 26:3, 27:2, 28:1, 29:3, 30:3
0207|25:3, 26:3, 27:2, 28:1, 29:3, 30:3
0208|31:2, 32:3, 33:4, 34:3, 35:4, 36:5
0209|31:2, 32:3, 33:4, 34:3, 35:4, 36:5
0210|31:2, 32:3, 33:4, 34:3, 35:4, 36:5
0211|19:4, 20:4, 21:4, 22:4, 23:4, 24:5, 25:4, 26:3
0212|20:4, 21:4, 25:4, 26:3
0213|19:4, 20:4, 21:4, 22:4, 23:4, 24:5, 25:4, 26:3
0214|25:3, 26:3, 27:2, 28:3, 29:3, 30:3
0215|25:3, 26:3, 27:2, 28:3, 29:3, 30:3
0216|25:3, 26:3, 27:2, 28:3, 29:3, 30:3
0217|31:2, 32:3, 33:4, 34:3, 35:4, 36:5
0218|31:2, 32:3, 33:4, 34:3, 35:4, 36:5
0219|31:2, 32:3, 33:4, 34:3, 35:4, 36:5
0220|25:3, 26:3, 27:3, 28:3, 29:3, 30:3, 31:2, 32:3, 33:4, 34:3, 35:4, 36:5
0221|25:3, 26:3, 27:3, 28:3, 29:3, 30:3, 31:2, 32:3, 33:4, 34:3, 35:4, 36:5
0222|25:3, 26:3, 27:3, 28:3, 29:3, 30:3, 31:2, 32:3, 33:4, 34:3, 35:4, 36:5
0223|25:3, 26:3, 27:3, 28:3, 29:3, 30:3, 31:2, 32:3, 33:4, 34:3
0224|27:3, 28:3, 29:3, 30:3, 31:2, 32:3, 33:4, 34:3, 35:4, 36:7, 37:9
0225|27:3, 28:3, 29:3, 30:3, 31:2, 32:3, 33:4, 34:3, 35:4, 36:7, 37:9
0226|27:3, 28:3, 29:3, 30:3, 31:2, 32:3, 33:4, 34:3, 35:4, 36:7, 37:9
0227|27:3, 28:3, 29:3, 30:3, 31:2, 32:3, 33:4, 34:3, 35:4, 36:7, 37:9
0228|23:1
0229|20:1
0230|23:2
0231|24:2
0232|35:1
0233|23:1, 27:1, 28:1, 29:1
0234|24:1, 26:1, 27:1, 28:1, 29:1, 30:1, 32:1, 33:1
0235|24:1, 25:1, 26:1, 27:1, 28:1, 29:1, 30:1, 32:1, 33:1
0236|28:1, 29:1
0237|26:1, 27:1, 28:1, 29:1, 30:1, 32:1, 33:1
0238|24:1, 25:1, 26:1, 27:1, 28:1, 29:1, 30:1, 31:1, 32:1, 33:1

